Frequency,Asset,Model,Accuracy,Vald/Test
1h,TRXUSDT_1h,RandomForestClassifier,0.5037096221892478,FINAL TEST
1h,TRXUSDT_1h,RandomForestClassifier,0.5022464540992142,F1 FINAL TEST
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.5216299509188449, 0: 0.4783700490811551}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,RandomForestClassifier,0.46430782039398244,F1 VALIDATION
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.575, 1: 0.425}",DESBALANCEO REAL VAL
1h,LINKUSDT_1h,RandomForestClassifier,"{1: 0.5583333333333333, 0: 0.44166666666666665}",DESBALANCEO PREDICCIÓN VAL
1h,LINKUSDT_1h,RandomForestClassifier,0.4938933911653921,FINAL TEST
1h,LINKUSDT_1h,RandomForestClassifier,0.4938031127696444,F1 FINAL TEST
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5077045999315146, 1: 0.4922954000684853}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,RandomForestClassifier,0.5104031884700807,F1 VALIDATION
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.5666666666666667, 1: 0.43333333333333335}",DESBALANCEO REAL VAL
1h,AVAXUSDT_1h,RandomForestClassifier,"{1: 0.525, 0: 0.475}",DESBALANCEO PREDICCIÓN VAL
1h,AVAXUSDT_1h,RandomForestClassifier,0.5018833466499258,FINAL TEST
1h,AVAXUSDT_1h,RandomForestClassifier,0.4996062604638598,F1 FINAL TEST
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.5534756306357722, 1: 0.44652436936422785}",DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5651749574638144,F1 VALIDATION
1h,BTCUSDT_1h,GradientBoostingClassifier,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,GradientBoostingClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5215158086976373,FINAL TEST
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5212834891979277,F1 FINAL TEST
1h,BTCUSDT_1h,GradientBoostingClassifier,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
1h,BTCUSDT_1h,GradientBoostingClassifier,"{0: 0.5067914621618537, 1: 0.49320853783814633}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,GradientBoostingClassifier,0.49619508000242324,F1 VALIDATION
1h,ETHUSDT_1h,GradientBoostingClassifier,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,GradientBoostingClassifier,"{1: 0.5666666666666667, 0: 0.43333333333333335}",DESBALANCEO PREDICCIÓN VAL
